eft_id,description,normalized_description,company_id,company_name,alias,candidate_source,candidate_filter_score,fuzzy_score,vector_score,acronym_score,rule_score,final_score,risk_level,reason
EFT_00004,TO North Star Trading Limited,to north star trading limited,2,North Star Trading Limited,north star trading limited,token_index,0.6,0.95,0.9589,0.0,1.0,0.8127,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00004,TO North Star Trading Limited,to north star trading limited,2,North Star Trading Limited,north star trading,token_index,0.5,0.9,0.8863,0.0,1.0,0.7659,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00005,EFT Indiaforensic Services,eft indiaforensic services,6,Indiaforensic Services,indiaforensic services,token_index,0.5,0.95,0.661,0.0,0.8,0.7133,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity orta seviyede bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00006,TO ABC TRADING LIMITED ODEMESI,to abc trading limited odemesi,1,ABC Trading Limited,abc trading limited,token_index,0.6,0.9,0.7266,0.0,0.8,0.708,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity orta seviyede bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00006,TO ABC TRADING LIMITED ODEMESI,to abc trading limited odemesi,1,ABC Trading Limited,abc trading ltd,token_index,0.6,0.9,0.7266,0.0,0.8,0.708,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity orta seviyede bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00006,TO ABC TRADING LIMITED ODEMESI,to abc trading limited odemesi,1,ABC Trading Limited,abc trading,token_index,0.5,0.9,0.6923,0.0,0.8,0.6977,Low Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity orta seviyede bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00007,Rndom Company CORP,rndom company corporation,8,Acme Corporation,acme corporation,fuzzy_fallback,0.855,0.855,0.4207,0.0,0.0,0.5537,No Match,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
EFT_00007,Rndom Company CORP,rndom company corporation,8,Acme Corporation,acme corp,fuzzy_fallback,0.855,0.855,0.4207,0.0,0.0,0.5537,No Match,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
EFT_00007,Rndom Company CORP,rndom company corporation,3,Global Energy Petroleum Corporation,glbl enrgy petro corp,fuzzy_fallback,0.6094,0.6094,0.3641,0.0,0.0,0.4139,No Match,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik orta seviyede bulundu.
EFT_00008,HAVALE DELTA EXPORT INCRPORATED,havale delta export incrporated,5,Delta Export Incorporated,delta export,token_index,0.5,0.9,0.7402,0.0,0.8,0.712,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity orta seviyede bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00008,HAVALE DELTA EXPORT INCRPORATED,havale delta export incrporated,5,Delta Export Incorporated,delta export incorporated,token_index,0.5,0.8571,0.7326,0.0,0.8,0.6884,Low Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity orta seviyede bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00008,HAVALE DELTA EXPORT INCRPORATED,havale delta export incrporated,5,Delta Export Incorporated,delta export inc,token_index,0.5,0.8571,0.7326,0.0,0.8,0.6884,Low Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity orta seviyede bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00009,havale sunrise logistics llc odemesi,havale sunrise logistics llc odemesi,4,Sunrise Logistics LLC,sunrise logistics llc,token_index,0.6,0.9,0.8052,0.0,1.0,0.7415,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00009,havale sunrise logistics llc odemesi,havale sunrise logistics llc odemesi,4,Sunrise Logistics LLC,sunrise logistics,token_index,0.5,0.9,0.7303,0.0,1.0,0.7191,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity orta seviyede bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00009,havale sunrise logistics llc odemesi,havale sunrise logistics llc odemesi,4,Sunrise Logistics LLC,sunrise log llc,token_index,0.6,0.855,0.591,0.0,1.0,0.6548,Low Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00010,to acme corporation trf,to acme corporation trf,8,Acme Corporation,acme corporation,token_index,0.6,0.95,0.7966,0.0,0.8,0.754,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00010,to acme corporation trf,to acme corporation trf,8,Acme Corporation,acme corp,token_index,0.6,0.95,0.7966,0.0,0.8,0.754,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00010,to acme corporation trf,to acme corporation trf,8,Acme Corporation,acme,token_index,0.9,0.9,0.6267,0.0,0.8,0.678,Low Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity orta seviyede bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00011,transfer acme corporation,transfer acme corporation,8,Acme Corporation,acme corporation,token_index,0.6,0.9,0.766,0.0,0.8,0.7198,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00011,transfer acme corporation,transfer acme corporation,8,Acme Corporation,acme corp,token_index,0.6,0.9,0.766,0.0,0.8,0.7198,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00011,transfer acme corporation,transfer acme corporation,8,Acme Corporation,acme,token_index,0.9,0.9,0.6485,0.0,0.8,0.6846,Low Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity orta seviyede bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00012,Random Company LLC,random company llc,8,Acme Corporation,acme corporation,fuzzy_fallback,0.4706,0.4706,0.4616,0.0,0.0,0.3738,No Match,Aday şirket fuzzy fallback ile bulundu.
EFT_00012,Random Company LLC,random company llc,8,Acme Corporation,acme corp,fuzzy_fallback,0.4706,0.4706,0.4616,0.0,0.0,0.3738,No Match,Aday şirket fuzzy fallback ile bulundu.
EFT_00012,Random Company LLC,random company llc,8,Acme Corporation,a,fuzzy_fallback,0.6,0.6,0.2304,0.0,0.0,0.3691,No Match,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik orta seviyede bulundu.
EFT_00013,Unknown Entity ODEMESI,unknown entity odemesi,5,Delta Export Incorporated,de,fuzzy_fallback,0.6,0.6,0.2571,0.0,0.0,0.3771,No Match,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik orta seviyede bulundu.
EFT_00013,Unknown Entity ODEMESI,unknown entity odemesi,2,North Star Trading Limited,nst,fuzzy_fallback,0.6,0.6,0.1211,0.0,0.0,0.3363,No Match,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik orta seviyede bulundu.
EFT_00013,Unknown Entity ODEMESI,unknown entity odemesi,8,Acme Corporation,acme,fuzzy_fallback,0.45,0.45,0.2285,0.0,0.0,0.2935,No Match,Aday şirket fuzzy fallback ile bulundu.
EFT_00014,SWIFT XYZ Holdings,swift xyz holdings,2,North Star Trading Limited,nst,fuzzy_fallback,0.6,0.6,0.2606,0.0,0.0,0.3782,No Match,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik orta seviyede bulundu.
EFT_00014,SWIFT XYZ Holdings,swift xyz holdings,1,ABC Trading Limited,abc trading,fuzzy_fallback,0.45,0.45,0.3082,0.0,0.0,0.3175,No Match,Aday şirket fuzzy fallback ile bulundu.
EFT_00014,SWIFT XYZ Holdings,swift xyz holdings,2,North Star Trading Limited,north star trading,fuzzy_fallback,0.3889,0.3889,0.3298,0.0,0.0,0.2934,No Match,Aday şirket fuzzy fallback ile bulundu.
EFT_00015,swift global energy petroleum corporation,swift global energy petroleum corporation,3,Global Energy Petroleum Corporation,global energy petroleum corp,token_index,0.6,0.95,0.8068,0.0,1.0,0.767,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00015,swift global energy petroleum corporation,swift global energy petroleum corporation,3,Global Energy Petroleum Corporation,global energy petroleum corporation,token_index,0.6,0.95,0.8068,0.0,1.0,0.767,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00015,swift global energy petroleum corporation,swift global energy petroleum corporation,3,Global Energy Petroleum Corporation,global enrgy petroleum corp,token_index,0.6,0.9067,0.6986,0.0,1.0,0.7129,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity orta seviyede bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00016,TRANSFER Indiaforensic Services INV,transfer indiaforensic services inv,6,Indiaforensic Services,indiaforensic services,token_index,0.5,0.9,0.6733,0.0,0.8,0.692,Low Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity orta seviyede bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00017,TRANSFER North Star Trading Limited,transfer north star trading limited,2,North Star Trading Limited,north star trading ltd,token_index,0.6,0.95,0.8371,0.0,1.0,0.7761,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00017,TRANSFER North Star Trading Limited,transfer north star trading limited,2,North Star Trading Limited,north star trading limited,token_index,0.6,0.95,0.8371,0.0,1.0,0.7761,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00017,TRANSFER North Star Trading Limited,transfer north star trading limited,2,North Star Trading Limited,north star trading,token_index,0.5,0.9,0.7771,0.0,1.0,0.7331,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00018,Indiaforensic Services LLC,indiaforensic services llc,6,Indiaforensic Services,indiaforensic services,token_index,0.5,0.95,0.895,0.0,0.8,0.7835,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00019,EFT Indiaforensic Services TRF,eft indiaforensic services trf,6,Indiaforensic Services,indiaforensic services,token_index,0.5,0.95,0.6193,0.0,0.8,0.7008,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity orta seviyede bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00020,Acme Cororation LLC,acme cororation llc,8,Acme Corporation,acme corporation,token_index,0.6,0.8571,0.846,0.0,0.5,0.7074,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00020,Acme Cororation LLC,acme cororation llc,8,Acme Corporation,acme corp,token_index,0.6,0.8571,0.846,0.0,0.5,0.7074,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00020,Acme Cororation LLC,acme cororation llc,8,Acme Corporation,acme,token_index,0.9,0.9,0.7164,0.0,0.5,0.6899,Low Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity orta seviyede bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00021,payment random company,payment random company,8,Acme Corporation,acme,fuzzy_fallback,0.675,0.675,0.1424,0.0,0.0,0.3802,No Match,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik orta seviyede bulundu.
EFT_00021,payment random company,payment random company,8,Acme Corporation,a,fuzzy_fallback,0.6,0.6,0.1262,0.0,0.0,0.3379,No Match,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik orta seviyede bulundu.
EFT_00021,payment random company,payment random company,2,North Star Trading Limited,nst,fuzzy_fallback,0.6,0.6,0.1248,0.0,0.0,0.3374,No Match,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik orta seviyede bulundu.
EFT_00022,Global Energy Petroleum Corporation,global energy petroleum corporation,3,Global Energy Petroleum Corporation,global energy petroleum corp,token_index,0.6,1.0,1.0,0.0,1.0,0.85,High Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00022,Global Energy Petroleum Corporation,global energy petroleum corporation,3,Global Energy Petroleum Corporation,global energy petroleum corporation,token_index,0.6,1.0,1.0,0.0,1.0,0.85,High Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00022,Global Energy Petroleum Corporation,global energy petroleum corporation,3,Global Energy Petroleum Corporation,global enrgy petroleum corp,token_index,0.6,0.9855,0.8897,0.0,1.0,0.8097,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00023,transfer north star trading limited,transfer north star trading limited,2,North Star Trading Limited,north star trading ltd,token_index,0.6,0.95,0.8371,0.0,1.0,0.7761,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00023,transfer north star trading limited,transfer north star trading limited,2,North Star Trading Limited,north star trading limited,token_index,0.6,0.95,0.8371,0.0,1.0,0.7761,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00023,transfer north star trading limited,transfer north star trading limited,2,North Star Trading Limited,north star trading,token_index,0.5,0.9,0.7771,0.0,1.0,0.7331,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00024,acme corporation,acme corporation,8,Acme Corporation,acme corporation,token_index,0.6,1.0,1.0,0.0,0.8,0.84,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00024,acme corporation,acme corporation,8,Acme Corporation,acme corp,token_index,0.6,1.0,1.0,0.0,0.8,0.84,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00024,acme corporation,acme corporation,8,Acme Corporation,acme,token_index,0.9,0.9,0.8161,0.0,0.8,0.7348,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00025,EFT Indiaforensic Services,eft indiaforensic services,6,Indiaforensic Services,indiaforensic services,token_index,0.5,0.95,0.661,0.0,0.8,0.7133,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity orta seviyede bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00026,Logistics LLC,logistics llc,4,Sunrise Logistics LLC,sunrise logistics llc,token_index,0.6,0.9,0.6988,0.0,0.8,0.6996,Low Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity orta seviyede bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00026,Logistics LLC,logistics llc,4,Sunrise Logistics LLC,sunrise logistics,token_index,0.5,0.7773,0.4828,0.0,0.8,0.5735,No Match,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00027,SWIFT ACME,swift acme,8,Acme Corporation,acme,token_index,0.9,0.9,0.6938,0.0,0.5,0.6831,Low Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity orta seviyede bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00027,SWIFT ACME,swift acme,8,Acme Corporation,acme corporation,token_index,0.5,0.855,0.5512,0.0,0.5,0.6179,No Match,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00027,SWIFT ACME,swift acme,8,Acme Corporation,acme corp,token_index,0.5,0.855,0.5512,0.0,0.5,0.6179,No Match,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00028,havale global petroleum corporation,havale global petroleum corporation,3,Global Energy Petroleum Corporation,global energy petroleum corp,token_index,0.6,0.8444,0.7106,0.0,0.8,0.6754,Low Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity orta seviyede bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00028,havale global petroleum corporation,havale global petroleum corporation,3,Global Energy Petroleum Corporation,global energy petroleum corporation,token_index,0.6,0.8444,0.7106,0.0,0.8,0.6754,Low Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity orta seviyede bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00028,havale global petroleum corporation,havale global petroleum corporation,3,Global Energy Petroleum Corporation,global enrgy petroleum corp,token_index,0.6,0.8581,0.6609,0.0,0.8,0.6673,Low Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity orta seviyede bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00029,transfer trading limited corp,transfer trading limited corporation,1,ABC Trading Limited,abc trading limited,fuzzy_fallback,0.855,0.855,0.5948,0.0,0.0,0.6059,No Match,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
EFT_00029,transfer trading limited corp,transfer trading limited corporation,1,ABC Trading Limited,abc trading ltd,fuzzy_fallback,0.855,0.855,0.5948,0.0,0.0,0.6059,No Match,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
EFT_00029,transfer trading limited corp,transfer trading limited corporation,1,ABC Trading Limited,abc trade ltd,fuzzy_fallback,0.855,0.855,0.5462,0.0,0.0,0.5914,No Match,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
EFT_00030,North Sta Trading Limited CORP,north sta trading limited corporation,2,North Star Trading Limited,north star trading ltd,token_index,0.6,0.8489,0.7153,0.0,0.8,0.679,Low Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity orta seviyede bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00030,North Sta Trading Limited CORP,north sta trading limited corporation,2,North Star Trading Limited,north star trading limited,token_index,0.6,0.8489,0.7153,0.0,0.8,0.679,Low Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity orta seviyede bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00030,North Sta Trading Limited CORP,north sta trading limited corporation,2,North Star Trading Limited,north star trading,token_index,0.5,0.8743,0.6261,0.0,0.8,0.665,Low Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity orta seviyede bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00031,yildizi lojistik as odemesi,yildizi lojistik as odemesi,7,Kuzey Yildizi Lojistik AS,kuzey yildizi lojistik as,token_index,0.5,0.8205,0.7826,0.0,1.0,0.695,Low Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00032,global energy petroleum corporation odemesi,global energy petroleum corporation odemesi,3,Global Energy Petroleum Corporation,global energy petroleum corp,token_index,0.6,0.95,0.8336,0.0,1.0,0.7751,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00032,global energy petroleum corporation odemesi,global energy petroleum corporation odemesi,3,Global Energy Petroleum Corporation,global energy petroleum corporation,token_index,0.6,0.95,0.8336,0.0,1.0,0.7751,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00032,global energy petroleum corporation odemesi,global energy petroleum corporation odemesi,3,Global Energy Petroleum Corporation,global energy petroleum,token_index,0.5,0.9,0.7684,0.0,1.0,0.7305,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00033,TRANSER Delta Export Incorporated,transer delta export incorporated,5,Delta Export Incorporated,delta export incorporated,token_index,0.6,0.95,0.8652,0.0,0.8,0.7746,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00033,TRANSER Delta Export Incorporated,transer delta export incorporated,5,Delta Export Incorporated,delta export inc,token_index,0.6,0.95,0.8652,0.0,0.8,0.7746,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00033,TRANSER Delta Export Incorporated,transer delta export incorporated,5,Delta Export Incorporated,delta export,token_index,0.5,0.9,0.8496,0.0,0.8,0.7449,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00034,swift abc trading limited odemesi,swift abc trading limited odemesi,1,ABC Trading Limited,abc trading limited,token_index,0.6,0.9,0.5734,0.0,0.8,0.662,Low Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00034,swift abc trading limited odemesi,swift abc trading limited odemesi,1,ABC Trading Limited,abc trading ltd,token_index,0.6,0.9,0.5734,0.0,0.8,0.662,Low Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00034,swift abc trading limited odemesi,swift abc trading limited odemesi,1,ABC Trading Limited,abc trading,token_index,0.5,0.9,0.5281,0.0,0.8,0.6484,No Match,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
