eft_id,true_company_id
EFT_00218,5
EFT_00219,-1
EFT_00220,4
EFT_00221,5
EFT_00222,-1
EFT_00223,3
EFT_00224,6
EFT_00225,3
EFT_00226,2
EFT_00227,8
EFT_00228,3
EFT_00229,3
EFT_00230,8
EFT_00231,-1
EFT_00232,2
EFT_00233,7
EFT_00234,-1
EFT_00235,3
EFT_00236,2
EFT_00237,8
EFT_00238,1
EFT_00239,8
EFT_00240,8
EFT_00241,3
EFT_00242,-1
EFT_00243,8
EFT_00244,7
EFT_00245,-1
EFT_00246,7
EFT_00247,5
EFT_00248,-1
EFT_00249,8
EFT_00250,-1
EFT_00251,2
EFT_00252,-1
EFT_00253,-1
EFT_00254,5
EFT_00255,6
EFT_00256,1
EFT_00257,8
EFT_00258,-1
EFT_00259,7
EFT_00260,4
EFT_00261,-1
EFT_00262,8
EFT_00263,7
EFT_00264,8
EFT_00265,8
EFT_00266,5
EFT_00267,6
EFT_00268,-1
EFT_00269,5
EFT_00270,-1
EFT_00271,-1
EFT_00272,7
EFT_00273,2
EFT_00274,6
EFT_00275,1
EFT_00276,-1
EFT_00277,-1
EFT_00278,3
EFT_00279,1
EFT_00280,8
EFT_00281,-1
EFT_00282,2
EFT_00283,-1
EFT_00284,1
EFT_00285,4
EFT_00286,5
EFT_00287,3
EFT_00288,2
EFT_00289,8
EFT_00290,3
EFT_00291,2
EFT_00292,-1
EFT_00293,-1
EFT_00294,5
EFT_00295,5
EFT_00296,6
EFT_00297,4
EFT_00298,-1
EFT_00299,3
EFT_00300,7
EFT_00301,1
EFT_00302,8
EFT_00303,8
EFT_00304,3
EFT_00305,8
EFT_00306,1
EFT_00307,1
EFT_00308,6
EFT_00309,-1
EFT_00310,2
EFT_00311,2
EFT_00312,1
EFT_00313,6
EFT_00314,4
EFT_00315,7
EFT_00316,8
EFT_00317,6
EFT_00318,2
EFT_00319,6
EFT_00320,-1
EFT_00321,5
EFT_00322,-1
EFT_00323,-1
EFT_00324,7
EFT_00325,4
EFT_00326,7
EFT_00327,2
EFT_00328,8
EFT_00329,2
EFT_00330,8
EFT_00331,-1
EFT_00332,5
EFT_00333,-1
EFT_00334,2
EFT_00335,-1
EFT_00336,6
EFT_00337,2
EFT_00338,8
EFT_00339,6
EFT_00340,2
EFT_00341,3
EFT_00342,-1
EFT_00343,-1
EFT_00344,-1
EFT_00345,8
EFT_00346,1
EFT_00347,-1
EFT_00348,4
EFT_00349,8
EFT_00350,2
EFT_00351,2
EFT_00352,8
EFT_00353,8
EFT_00354,8
EFT_00355,6
EFT_00356,-1
EFT_00357,4
EFT_00358,-1
EFT_00359,6
EFT_00360,6
EFT_00361,7
EFT_00362,3
EFT_00363,5
EFT_00364,7
EFT_00365,8
EFT_00366,7
EFT_00367,6
EFT_00368,3
EFT_00369,1
EFT_00370,-1
EFT_00371,8
EFT_00372,4
EFT_00373,1
EFT_00374,-1
EFT_00375,7
EFT_00376,-1
EFT_00377,2
EFT_00378,6
EFT_00379,6
EFT_00380,1
EFT_00381,4
EFT_00382,-1
EFT_00383,-1
EFT_00384,1
EFT_00385,1
EFT_00386,1
EFT_00387,2
EFT_00388,6
EFT_00389,2
EFT_00390,-1
EFT_00391,6
EFT_00392,4
EFT_00393,-1
EFT_00394,7
EFT_00395,-1
EFT_00396,3
EFT_00397,-1
EFT_00398,2
EFT_00399,2
EFT_00400,6
EFT_00401,8
EFT_00402,-1
EFT_00403,3
EFT_00404,-1
EFT_00405,8
EFT_00406,8
EFT_00407,4
EFT_00408,3
EFT_00409,5
EFT_00410,2
EFT_00411,4
EFT_00412,4
EFT_00413,-1
EFT_00414,8
EFT_00415,-1
EFT_00416,6
EFT_00417,3
EFT_00418,1
EFT_00419,-1
EFT_00420,6
EFT_00421,6
EFT_00422,8
EFT_00423,2
EFT_00424,6
EFT_00425,4
EFT_00426,-1
EFT_00427,2
EFT_00428,2
EFT_00429,2
EFT_00430,-1
EFT_00431,1
EFT_00432,-1
EFT_00433,1
EFT_00434,8
EFT_00435,-1
EFT_00436,5
EFT_00437,3
EFT_00438,4
EFT_00439,-1
EFT_00440,-1
EFT_00441,2
EFT_00442,6
EFT_00443,-1
EFT_00444,4
EFT_00445,3
EFT_00446,7
EFT_00447,4
EFT_00448,5
EFT_00449,7
EFT_00450,4
EFT_00451,2
EFT_00452,1
EFT_00453,8
EFT_00454,4
EFT_00455,-1
EFT_00456,6
EFT_00457,1
EFT_00458,2
EFT_00459,4
EFT_00460,-1
EFT_00461,1
EFT_00462,-1
EFT_00463,6
EFT_00464,6
EFT_00465,-1
EFT_00466,2
EFT_00467,-1
EFT_00468,1
EFT_00469,-1
EFT_00470,7
EFT_00471,5
EFT_00472,-1
EFT_00473,4
EFT_00474,1
EFT_00475,5
EFT_00476,6
EFT_00477,4
EFT_00478,2
EFT_00479,3
EFT_00480,-1
EFT_00481,5
EFT_00482,-1
EFT_00483,4
EFT_00484,7
EFT_00485,3
EFT_00486,7
EFT_00487,4
EFT_00488,2
EFT_00489,7
EFT_00490,3
EFT_00491,1
EFT_00492,-1
EFT_00493,3
EFT_00494,2
EFT_00495,-1
EFT_00496,1
EFT_00497,6
EFT_00498,5
EFT_00499,3
EFT_00500,-1
EFT_00501,7
EFT_00502,-1
EFT_00503,6
EFT_00504,4
EFT_00505,7
EFT_00506,6
EFT_00507,3
EFT_00508,1
EFT_00509,2
EFT_00510,-1
EFT_00511,3
EFT_00512,3
EFT_00513,1
EFT_00514,5
EFT_00515,7
EFT_00516,5
EFT_00517,-1
EFT_00518,2
EFT_00519,7
EFT_00520,8
EFT_00521,-1
EFT_00522,4
EFT_00523,4
EFT_00524,2
EFT_00525,7
EFT_00526,2
EFT_00527,8
EFT_00528,7
EFT_00529,8
EFT_00530,-1
EFT_00531,8
EFT_00532,5
EFT_00533,5
EFT_00534,1
EFT_00535,-1
EFT_00536,1
EFT_00537,7
EFT_00538,-1
EFT_00539,1
EFT_00540,-1
EFT_00541,1
EFT_00542,6
EFT_00543,1
EFT_00544,8
EFT_00545,-1
EFT_00546,7
EFT_00547,-1
EFT_00548,8
EFT_00549,3
EFT_00550,4
EFT_00551,-1
EFT_00552,-1
EFT_00553,4
EFT_00554,6
EFT_00555,-1
EFT_00556,4
EFT_00557,-1
EFT_00558,-1
EFT_00559,4
EFT_00560,4
EFT_00561,3
EFT_00562,1
EFT_00563,5
EFT_00564,-1
EFT_00565,-1
EFT_00566,5
EFT_00567,-1
EFT_00568,6
EFT_00569,2
EFT_00570,2
EFT_00571,2
EFT_00572,4
EFT_00573,4
EFT_00574,-1
EFT_00575,4
EFT_00576,5
EFT_00577,7
EFT_00578,2
EFT_00579,6
EFT_00580,2
EFT_00581,3
EFT_00582,-1
EFT_00583,8
EFT_00584,4
EFT_00585,3
EFT_00586,2
EFT_00587,3
EFT_00588,5
EFT_00589,8
EFT_00590,2
EFT_00591,8
EFT_00592,4
EFT_00593,3
EFT_00594,6
EFT_00595,7
EFT_00596,2
EFT_00597,6
EFT_00598,1
EFT_00599,-1
EFT_00600,1
EFT_00601,6
EFT_00602,4
EFT_00603,4
EFT_00604,8
EFT_00605,4
EFT_00606,-1
EFT_00607,3
EFT_00608,8
EFT_00609,1
EFT_00610,1
EFT_00611,5
EFT_00612,8
EFT_00613,-1
EFT_00614,4
EFT_00615,4
EFT_00616,1
EFT_00617,1
EFT_00618,-1
EFT_00619,4
EFT_00620,4
EFT_00621,-1
EFT_00622,-1
EFT_00623,6
EFT_00624,1
EFT_00625,5
EFT_00626,8
EFT_00627,-1
EFT_00628,8
EFT_00629,4
EFT_00630,-1
EFT_00631,5
EFT_00632,8
EFT_00633,-1
EFT_00634,4
EFT_00635,1
EFT_00636,8
EFT_00637,-1
EFT_00638,1
EFT_00639,5
EFT_00640,1
EFT_00641,7
EFT_00642,2
EFT_00643,3
EFT_00644,-1
EFT_00645,-1
EFT_00646,7
EFT_00647,5
EFT_00648,-1
EFT_00649,6
EFT_00650,8
EFT_00651,5
EFT_00652,8
EFT_00653,1
EFT_00654,2
EFT_00655,8
EFT_00656,7
EFT_00657,8
EFT_00658,1
EFT_00659,3
EFT_00660,5
EFT_00661,3
EFT_00662,6
EFT_00663,7
EFT_00664,-1
EFT_00665,-1
EFT_00666,-1
EFT_00667,8
EFT_00668,6
EFT_00669,4
EFT_00670,-1
EFT_00671,-1
EFT_00672,5
EFT_00673,-1
EFT_00674,2
EFT_00675,4
EFT_00676,6
EFT_00677,7
EFT_00678,3
EFT_00679,4
EFT_00680,3
EFT_00681,4
EFT_00682,2
EFT_00683,4
EFT_00684,1
EFT_00685,-1
EFT_00686,-1
EFT_00687,5
EFT_00688,4
EFT_00689,5
EFT_00690,1
EFT_00691,6
EFT_00692,-1
EFT_00693,-1
EFT_00694,3
EFT_00695,2
EFT_00696,3
EFT_00697,-1
EFT_00698,3
EFT_00699,7
EFT_00700,6
EFT_00701,4
EFT_00702,-1
EFT_00703,2
EFT_00704,4
EFT_00705,6
EFT_00706,3
EFT_00707,-1
EFT_00708,1
EFT_00709,1
EFT_00710,2
EFT_00711,1
EFT_00712,2
EFT_00713,4
EFT_00714,3
EFT_00715,3
EFT_00716,5
EFT_00717,-1
EFT_00718,8
EFT_00719,8
EFT_00720,-1
EFT_00721,1
EFT_00722,6
EFT_00723,5
EFT_00724,-1
EFT_00725,1
EFT_00726,3
EFT_00727,2
EFT_00728,-1
EFT_00729,-1
EFT_00730,6
EFT_00731,3
EFT_00732,6
EFT_00733,2
EFT_00734,1
EFT_00735,1
EFT_00736,6
EFT_00737,5
EFT_00738,1
EFT_00739,-1
EFT_00740,3
EFT_00741,-1
EFT_00742,-1
EFT_00743,8
EFT_00744,7
EFT_00745,4
EFT_00746,1
EFT_00747,4
EFT_00748,2
EFT_00749,8
EFT_00750,1
EFT_00751,3
EFT_00752,-1
EFT_00753,3
EFT_00754,-1
EFT_00755,6
EFT_00756,4
EFT_00757,-1
EFT_00758,-1
EFT_00759,1
EFT_00760,-1
EFT_00761,2
EFT_00762,-1
EFT_00763,-1
EFT_00764,7
EFT_00765,4
EFT_00766,4
EFT_00767,-1
EFT_00768,5
EFT_00769,7
EFT_00770,7
EFT_00771,8
EFT_00772,-1
EFT_00773,8
EFT_00774,4
EFT_00775,8
EFT_00776,-1
EFT_00777,1
EFT_00778,8
EFT_00779,1
EFT_00780,-1
EFT_00781,3
EFT_00782,5
EFT_00783,2
EFT_00784,5
EFT_00785,-1
EFT_00786,6
EFT_00787,1
EFT_00788,7
EFT_00789,6
EFT_00790,-1
EFT_00791,5
EFT_00792,6
EFT_00793,5
EFT_00794,2
EFT_00795,8
EFT_00796,3
EFT_00797,5
EFT_00798,1
EFT_00799,6
EFT_00800,4
EFT_00801,8
EFT_00802,5
EFT_00803,6
EFT_00804,8
EFT_00805,-1
EFT_00806,7
EFT_00807,5
EFT_00808,6
EFT_00809,6
EFT_00810,5
EFT_00811,8
EFT_00812,1
EFT_00813,-1
EFT_00814,5
EFT_00815,8
EFT_00816,7
EFT_00817,6
EFT_00818,-1
EFT_00819,7
EFT_00820,8
EFT_00821,-1
EFT_00822,4
EFT_00823,7
EFT_00824,3
EFT_00825,1
EFT_00826,-1
EFT_00827,1
EFT_00828,-1
EFT_00829,8
EFT_00830,6
EFT_00831,-1
EFT_00832,7
EFT_00833,7
EFT_00834,2
EFT_00835,1
EFT_00836,2
EFT_00837,3
EFT_00838,3
EFT_00839,3
EFT_00840,-1
EFT_00841,7
EFT_00842,1
EFT_00843,8
EFT_00844,1
EFT_00845,7
EFT_00846,-1
EFT_00847,1
EFT_00848,7
EFT_00849,8
EFT_00850,-1
EFT_00851,1
EFT_00852,7
EFT_00853,5
EFT_00854,6
EFT_00855,-1
EFT_00856,7
EFT_00857,2
EFT_00858,2
EFT_00859,-1
EFT_00860,-1
EFT_00861,3
EFT_00862,1
EFT_00863,-1
EFT_00864,8
EFT_00865,-1
EFT_00866,5
EFT_00867,-1
EFT_00868,-1
EFT_00869,2
EFT_00870,8
EFT_00871,5
EFT_00872,-1
EFT_00873,7
EFT_00874,2
EFT_00875,6
EFT_00876,7
EFT_00877,6
EFT_00878,-1
EFT_00879,8
EFT_00880,5
EFT_00881,4
EFT_00882,6
EFT_00883,4
EFT_00884,3
EFT_00885,1
EFT_00886,2
EFT_00887,8
EFT_00888,8
EFT_00889,4
EFT_00890,-1
EFT_00891,5
EFT_00892,4
EFT_00893,-1
EFT_00894,3
EFT_00895,1
EFT_00896,8
EFT_00897,2
EFT_00898,5
EFT_00899,6
EFT_00900,-1
EFT_00901,6
EFT_00902,5
EFT_00903,8
EFT_00904,6
EFT_00905,3
EFT_00906,1
EFT_00907,3
EFT_00908,-1
EFT_00909,4
EFT_00910,5
EFT_00911,4
EFT_00912,7
EFT_00913,3
EFT_00914,-1
EFT_00915,5
EFT_00916,4
EFT_00917,2
EFT_00918,5
EFT_00919,-1
EFT_00920,7
EFT_00921,4
EFT_00922,1
EFT_00923,-1
EFT_00924,2
EFT_00925,-1
EFT_00926,6
EFT_00927,4
EFT_00928,8
EFT_00929,6
EFT_00930,3
EFT_00931,2
EFT_00932,2
EFT_00933,2
EFT_00934,1
EFT_00935,4
EFT_00936,7
EFT_00937,7
EFT_00938,1
EFT_00939,4
EFT_00940,-1
EFT_00941,1
EFT_00942,-1
EFT_00943,7
EFT_00944,-1
EFT_00945,8
EFT_00946,1
EFT_00947,6
EFT_00948,7
EFT_00949,4
EFT_00950,5
EFT_00951,1
EFT_00952,3
EFT_00953,7
EFT_00954,8
EFT_00955,5
EFT_00956,7
EFT_00957,5
EFT_00958,-1
EFT_00959,4
EFT_00960,-1
EFT_00961,7
EFT_00962,4
EFT_00963,-1
EFT_00964,8
EFT_00965,-1
EFT_00966,4
EFT_00967,1
EFT_00968,2
EFT_00969,7
EFT_00970,7
EFT_00971,-1
EFT_00972,3
EFT_00973,8
EFT_00974,2
EFT_00975,2
EFT_00976,2
EFT_00977,2
EFT_00978,3
EFT_00979,2
EFT_00980,8
EFT_00981,-1
EFT_00982,2
EFT_00983,-1
EFT_00984,1
EFT_00985,5
EFT_00986,4
EFT_00987,8
EFT_00988,8
EFT_00989,1
EFT_00990,3
EFT_00991,8
EFT_00992,7
EFT_00993,4
EFT_00994,4
EFT_00995,2
EFT_00996,4
EFT_00997,5
EFT_00998,6
EFT_00999,-1
EFT_01000,1
